genus,Substrate,name,seq.name,exp_ID,totalFunctionalAbun,relative_abun,cum_prop,stage,retting_type,rettingPeriod,treatment
Enterobacterales unclassified,Hemicellulose-Xylan,Otu0005,ERR2179951,PRJEB20299,5510475,0.04094670329854252,0.725112835418762,early,dew,R0,early harvest
Rhizobiaceae unclassified,Hemicellulose-Xylan,Otu0003,ERR2179951,PRJEB20299,5190306,0.03856762253900889,0.763680457957771,early,dew,R0,early harvest
Pedobacter,Hemicellulose-Xylan,Otu0009,ERR2179951,PRJEB20299,3756480,0.027913287331293397,0.7915937452890643,early,dew,R0,early harvest
Massilia,Hemicellulose-Xylan,Otu0020,ERR2179951,PRJEB20299,3388016,0.025175340768756743,0.8167690860578212,early,dew,R0,early harvest
Sphingomonas,Hemicellulose-Xylan,Otu0007,ERR2179951,PRJEB20299,2758080,0.02049447342264399,0.8372635594804652,early,dew,R0,early harvest
Pseudomonas,Hemicellulose-Xylan,Otu0017,ERR2179951,PRJEB20299,2456973,0.018257036724335,0.8555205962048001,early,dew,R0,early harvest
Pedobacter,Hemicellulose-Xylan,Otu0011,ERR2179951,PRJEB20299,2412137,0.01792387372312486,0.873444469927925,early,dew,R0,early harvest
Pedobacter,Hemicellulose-Xylan,Otu0008,ERR2179951,PRJEB20299,2373360,0.017635733351594712,0.8910802032795196,early,dew,R0,early harvest
Erwiniaceae unclassified,Hemicellulose-Xyoglucan,Otu0005,ERR2179951,PRJEB20299,22686400,0.2075050533694287,0.2075050533694287,early,dew,R0,early harvest
Pantoea,Hemicellulose-Xyoglucan,Otu0005,ERR2179951,PRJEB20299,18432700,0.16859785586266082,0.37610290923208956,early,dew,R0,early harvest
Sphingomonas,Hemicellulose-Xyoglucan,Otu0001,ERR2179951,PRJEB20299,13866504,0.12683236002924203,0.5029352692613316,early,dew,R0,early harvest
Enterobacterales unclassified,Hemicellulose-Xyoglucan,Otu0005,ERR2179951,PRJEB20299,13470050,0.1232061254380983,0.6261413946994299,early,dew,R0,early harvest
Massilia,Hemicellulose-Xyoglucan,Otu0004,ERR2179951,PRJEB20299,8052240,0.07365119591224031,0.6997925906116702,early,dew,R0,early harvest
Oxalobacteraceae unclassified,Hemicellulose-Xyoglucan,Otu0004,ERR2179951,PRJEB20299,7918036,0.07242367598036964,0.7722162665920398,early,dew,R0,early harvest
Flavobacterium,Hemicellulose-Xyoglucan,Otu0010,ERR2179951,PRJEB20299,3023865,0.027658300488704577,0.7998745670807443,early,dew,R0,early harvest
Pedobacter,Hemicellulose-Xyoglucan,Otu0011,ERR2179951,PRJEB20299,2783235,0.025457336872075863,0.8253319039528202,early,dew,R0,early harvest
Rhizobiaceae unclassified,Hemicellulose-Xyoglucan,Otu0003,ERR2179951,PRJEB20299,2595153,0.023737012561130588,0.8490689165139509,early,dew,R0,early harvest
Pedobacter,Hemicellulose-Xyoglucan,Otu0009,ERR2179951,PRJEB20299,2504320,0.022906192928544313,0.8719751094424951,early,dew,R0,early harvest
Sphingomonas,Hemicellulose-Xyoglucan,Otu0007,ERR2179951,PRJEB20299,1654848,0.015136351406935094,0.8871114608494303,early,dew,R0,early harvest
Pedobacter,Hemicellulose-Xyoglucan,Otu0008,ERR2179951,PRJEB20299,1384460,0.012663201133182844,0.8997746619826131,early,dew,R0,early harvest
Sphingomonas,Pectin,Otu0001,ERR2179951,PRJEB20299,36399573,0.20928267945150641,0.20928267945150641,early,dew,R0,early harvest
Massilia,Pectin,Otu0004,ERR2179951,PRJEB20299,20130600,0.11574272882175006,0.3250254082732565,early,dew,R0,early harvest
Oxalobacteraceae unclassified,Pectin,Otu0004,ERR2179951,PRJEB20299,19795090,0.11381368334138756,0.438839091614644,early,dew,R0,early harvest
Pseudomonas,Pectin,Otu0002,ERR2179951,PRJEB20299,13844544,0.07960047399743608,0.5184395656120802,early,dew,R0,early harvest
Erwiniaceae unclassified,Pectin,Otu0005,ERR2179951,PRJEB20299,13405600,0.0770767252587033,0.5955162908707834,early,dew,R0,early harvest
Pantoea,Pectin,Otu0005,ERR2179951,PRJEB20299,10892050,0.06262483927269642,0.6581411301434799,early,dew,R0,early harvest
Rhizobiaceae unclassified,Pectin,Otu0003,ERR2179951,PRJEB20299,9515561,0.05471058966994629,0.7128517198134261,early,dew,R0,early harvest
Enterobacterales unclassified,Pectin,Otu0005,ERR2179951,PRJEB20299,7959575,0.04576430562235508,0.7586160254357812,early,dew,R0,early harvest
Pedobacter,Pectin,Otu0009,ERR2179951,PRJEB20299,5259072,0.030237516236478728,0.78885354167226,early,dew,R0,early harvest
Massilia,Pectin,Otu0020,ERR2179951,PRJEB20299,4235020,0.024349635451237812,0.8132031771234978,early,dew,R0,early harvest
Sphingomonas,Pectin,Otu0007,ERR2179951,PRJEB20299,4137120,0.023786750432825576,0.8369899275563233,early,dew,R0,early harvest
Pedobacter,Pectin,Otu0011,ERR2179951,PRJEB20299,3339882,0.01920295751853617,0.8561928850748595,early,dew,R0,early harvest
Pedobacter,Pectin,Otu0008,ERR2179951,PRJEB20299,3164480,0.0181944676513294,0.8743873527261888,early,dew,R0,early harvest
Pseudomonas,Pectin,Otu0017,ERR2179951,PRJEB20299,3002967,0.017265833861964584,0.8916531865881535,early,dew,R0,early harvest
Pseudomonas,Cellulose,Otu0002,ERR2179952,PRJEB20299,19901532,0.21565630434970146,0.21565630434970146,early,dew,R1,early harvest
Erwiniaceae unclassified,Cellulose,Otu0005,ERR2179952,PRJEB20299,8056250,0.08729886231458374,0.3029551666642852,early,dew,R1,early harvest
Sphingomonas,Cellulose,Otu0001,ERR2179952,PRJEB20299,8027976,0.08699248055718017,0.38994764722146535,early,dew,R1,early harvest
Pantoea,Cellulose,Otu0005,ERR2179952,PRJEB20299,7572875,0.08206093057570872,0.4720085777971741,early,dew,R1,early harvest
Enterobacterales unclassified,Cellulose,Otu0005,ERR2179952,PRJEB20299,6122750,0.06634713535908364,0.5383557131562577,early,dew,R1,early harvest
Pseudomonas,Cellulose,Otu0017,ERR2179952,PRJEB20299,5813825,0.0629995727784124,0.6013552859346701,early,dew,R1,early harvest
Massilia,Cellulose,Otu0004,ERR2179952,PRJEB20299,5636568,0.06107878650225461,0.6624340724369248,early,dew,R1,early harvest
Oxalobacteraceae unclassified,Cellulose,Otu0004,ERR2179952,PRJEB20299,2583427,0.02799444381353336,0.6904285162504581,early,dew,R1,early harvest
Agrobacterium,Cellulose,Otu0003,ERR2179952,PRJEB20299,2549624,0.027628148894331513,0.7180566651447896,early,dew,R1,early harvest
Pedobacter,Cellulose,Otu0011,ERR2179952,PRJEB20299,2355045,0.025519658550771002,0.7435763236955606,early,dew,R1,early harvest
Rhizobiaceae unclassified,Cellulose,Otu0003,ERR2179952,PRJEB20299,2003276,0.021707831274117618,0.7652841549696783,early,dew,R1,early harvest
Erwinia,Cellulose,Otu0022,ERR2179952,PRJEB20299,1959750,0.02123617631292543,0.7865203312826037,early,dew,R1,early harvest
Enterobacterales unclassified,Cellulose,Otu0022,ERR2179952,PRJEB20299,1899450,0.020582755503296954,0.8071030867859006,early,dew,R1,early harvest
Pedobacter,Cellulose,Otu0009,ERR2179952,PRJEB20299,1721720,0.018656843720622512,0.8257599305065231,early,dew,R1,early harvest
Janthinobacterium,Cellulose,Otu0004,ERR2179952,PRJEB20299,1409142,0.015269696625563652,0.8410296271320867,early,dew,R1,early harvest
Flavobacterium,Cellulose,Otu0012,ERR2179952,PRJEB20299,1306752,0.014160181589114904,0.8551898087212016,early,dew,R1,early harvest
Pseudomonadaceae unclassified,Cellulose,Otu0002,ERR2179952,PRJEB20299,1236120,0.013394801512403819,0.8685846102336054,early,dew,R1,early harvest
Pseudomonas,Cellulose,Otu0035,ERR2179952,PRJEB20299,1075140,0.011650395510181731,0.8802350057437872,early,dew,R1,early harvest
Flavobacterium,Cellulose,Otu0010,ERR2179952,PRJEB20299,1007955,0.010922367697662841,0.8911573734414501,early,dew,R1,early harvest
Pseudomonas,Hemicellulose-Galactomannan,Otu0002,ERR2179952,PRJEB20299,9950766,0.2925087443012656,0.2925087443012656,early,dew,R1,early harvest
Erwiniaceae unclassified,Hemicellulose-Galactomannan,Otu0005,ERR2179952,PRJEB20299,3222500,0.0947273233548883,0.3872360676561539,early,dew,R1,early harvest
Pantoea,Hemicellulose-Galactomannan,Otu0005,ERR2179952,PRJEB20299,3029150,0.08904368395359501,0.4762797516097489,early,dew,R1,early harvest
Enterobacterales unclassified,Hemicellulose-Galactomannan,Otu0005,ERR2179952,PRJEB20299,2449100,0.07199276574971511,0.548272517359464,early,dew,R1,early harvest
Erwinia,Hemicellulose-Galactomannan,Otu0022,ERR2179952,PRJEB20299,1959750,0.057608028532115545,0.6058805458915796,early,dew,R1,early harvest
Enterobacterales unclassified,Hemicellulose-Galactomannan,Otu0022,ERR2179952,PRJEB20299,1899450,0.05583547380805045,0.66171601969963,early,dew,R1,early harvest
Agrobacterium,Hemicellulose-Galactomannan,Otu0003,ERR2179952,PRJEB20299,1274812,0.037473864558787234,0.6991898842584172,early,dew,R1,early harvest
Rhizobiaceae unclassified,Hemicellulose-Galactomannan,Otu0003,ERR2179952,PRJEB20299,1001638,0.029443750724761398,0.7286336349831787,early,dew,R1,early harvest
Flavobacterium,Hemicellulose-Galactomannan,Otu0012,ERR2179952,PRJEB20299,980064,0.02880957003459589,0.7574432050177745,early,dew,R1,early harvest
Pedobacter,Hemicellulose-Galactomannan,Otu0009,ERR2179952,PRJEB20299,860860,0.025305496845085845,0.7827487018628604,early,dew,R1,early harvest
Pedobacter,Hemicellulose-Galactomannan,Otu0011,ERR2179952,PRJEB20299,856380,0.02517380455381202,0.8079225064166724,early,dew,R1,early harvest
Massilia,Hemicellulose-Galactomannan,Otu0004,ERR2179952,PRJEB20299,805224,0.023670043202829037,0.8315925496195015,early,dew,R1,early harvest
Sphingomonas,Hemicellulose-Galactomannan,Otu0001,ERR2179952,PRJEB20299,729816,0.021453379742923554,0.853045929362425,early,dew,R1,early harvest
Pseudomonadaceae unclassified,Hemicellulose-Galactomannan,Otu0002,ERR2179952,PRJEB20299,618060,0.01816824498765625,0.8712141743500812,early,dew,R1,early harvest
Erwiniaceae unclassified,Hemicellulose-Galactomannan,Otu0022,ERR2179952,PRJEB20299,542700,0.015952992516585843,0.8871671668666671,early,dew,R1,early harvest
Pseudomonas,Hemicellulose-Xylan,Otu0002,ERR2179952,PRJEB20299,19901532,0.15349205415945624,0.15349205415945624,early,dew,R1,early harvest
Erwiniaceae unclassified,Hemicellulose-Xylan,Otu0005,ERR2179952,PRJEB20299,14501250,0.11184197530018367,0.2653340294596399,early,dew,R1,early harvest
Pantoea,Hemicellulose-Xylan,Otu0005,ERR2179952,PRJEB20299,13631175,0.10513145678217264,0.3704654862418125,early,dew,R1,early harvest
Sphingomonas,Hemicellulose-Xylan,Otu0001,ERR2179952,PRJEB20299,12406872,0.09568892831835464,0.4661544145601672,early,dew,R1,early harvest
Enterobacterales unclassified,Hemicellulose-Xylan,Otu0005,ERR2179952,PRJEB20299,11020950,0.0849999012281396,0.5511543157883068,early,dew,R1,early harvest
Pseudomonas,Hemicellulose-Xylan,Otu0017,ERR2179952,PRJEB20299,10464885,0.08071120832267994,0.6318655241109867,early,dew,R1,early harvest
Massilia,Hemicellulose-Xylan,Otu0004,ERR2179952,PRJEB20299,6441792,0.04968280263790506,0.6815483267488918,early,dew,R1,early harvest
Agrobacterium,Hemicellulose-Xylan,Otu0003,ERR2179952,PRJEB20299,3824436,0.029496248712982207,0.711044575461874,early,dew,R1,early harvest
Rhizobiaceae unclassified,Hemicellulose-Xylan,Otu0003,ERR2179952,PRJEB20299,3004914,0.023175623988771734,0.7342201994506458,early,dew,R1,early harvest
Oxalobacteraceae unclassified,Hemicellulose-Xylan,Otu0004,ERR2179952,PRJEB20299,2952488,0.022771284542373153,0.7569914839930189,early,dew,R1,early harvest
Pedobacter,Hemicellulose-Xylan,Otu0011,ERR2179952,PRJEB20299,2783235,0.021465908119962532,0.7784573921129814,early,dew,R1,early harvest
Pedobacter,Hemicellulose-Xylan,Otu0008,ERR2179952,PRJEB20299,2610696,0.020135188176763266,0.7985925802897447,early,dew,R1,early harvest
Pedobacter,Hemicellulose-Xylan,Otu0009,ERR2179952,PRJEB20299,2582580,0.019918341423721977,0.8185109217134666,early,dew,R1,early harvest
Erwinia,Hemicellulose-Xylan,Otu0022,ERR2179952,PRJEB20299,1633125,0.012595598718187221,0.8311065204316539,early,dew,R1,early harvest
Janthinobacterium,Hemicellulose-Xylan,Otu0004,ERR2179952,PRJEB20299,1610448,0.012420700659476265,0.8435272210911301,early,dew,R1,early harvest
Enterobacterales unclassified,Hemicellulose-Xylan,Otu0022,ERR2179952,PRJEB20299,1582875,0.012208041834550692,0.8557352629256808,early,dew,R1,early harvest
Stenotrophomonas,Hemicellulose-Xylan,Otu0018,ERR2179952,PRJEB20299,1500488,0.011572625934607153,0.867307888860288,early,dew,R1,early harvest
Pseudomonas,Hemicellulose-Xylan,Otu0035,ERR2179952,PRJEB20299,1433520,0.01105613022548534,0.8783640190857733,early,dew,R1,early harvest
Flavobacterium,Hemicellulose-Xylan,Otu0010,ERR2179952,PRJEB20299,1411137,0.010883499663765213,0.8892475187495386,early,dew,R1,early harvest
Flavobacterium,Hemicellulose-Xylan,Otu0012,ERR2179952,PRJEB20299,1306752,0.010078422543399058,0.8993259412929376,early,dew,R1,early harvest
Erwiniaceae unclassified,Hemicellulose-Xyoglucan,Otu0005,ERR2179952,PRJEB20299,35447500,0.23608191328074474,0.23608191328074468,early,dew,R1,early harvest
Pantoea,Hemicellulose-Xyoglucan,Otu0005,ERR2179952,PRJEB20299,33320650,0.22191699848390006,0.4579989117646447,early,dew,R1,early harvest
Enterobacterales unclassified,Hemicellulose-Xyoglucan,Otu0005,ERR2179952,PRJEB20299,26940100,0.179422254093366,0.6374211658580107,early,dew,R1,early harvest
Erwinia,Hemicellulose-Xyoglucan,Otu0022,ERR2179952,PRJEB20299,5879250,0.039156064282553596,0.6765772301405643,early,dew,R1,early harvest
Sphingomonas,Hemicellulose-Xyoglucan,Otu0001,ERR2179952,PRJEB20299,5838528,0.038884853966660554,0.7154620841072248,early,dew,R1,early harvest
Enterobacterales unclassified,Hemicellulose-Xyoglucan,Otu0022,ERR2179952,PRJEB20299,5698350,0.03795126230462887,0.7534133464118536,early,dew,R1,early harvest
Pseudomonas,Hemicellulose-Xyoglucan,Otu0017,ERR2179952,PRJEB20299,3488295,0.023232198538335722,0.7766455449501894,early,dew,R1,early harvest
Massilia,Hemicellulose-Xyoglucan,Otu0004,ERR2179952,PRJEB20299,3220896,0.02145130940569286,0.7980968543558823,early,dew,R1,early harvest
Pedobacter,Hemicellulose-Xyoglucan,Otu0011,ERR2179952,PRJEB20299,3211425,0.02138823212800947,0.8194850864838917,early,dew,R1,early harvest
Flavobacterium,Hemicellulose-Xyoglucan,Otu0010,ERR2179952,PRJEB20299,3023865,0.020139074256370102,0.8396241607402618,early,dew,R1,early harvest
Erwinia,Hemicellulose-Xyoglucan,Otu0005,ERR2179952,PRJEB20299,2835800,0.01888655306245958,0.8585107138027214,early,dew,R1,early harvest
Agrobacterium,Hemicellulose-Xyoglucan,Otu0003,ERR2179952,PRJEB20299,1912218,0.01273545621129499,0.8712461700140164,early,dew,R1,early harvest
Pedobacter,Hemicellulose-Xyoglucan,Otu0009,ERR2179952,PRJEB20299,1721720,0.01146673113008601,0.8827129011441024,early,dew,R1,early harvest
Erwiniaceae unclassified,Hemicellulose-Xyoglucan,Otu0022,ERR2179952,PRJEB20299,1628100,0.010843217801322533,0.893556118945425,early,dew,R1,early harvest
Erwiniaceae unclassified,Pectin,Otu0005,ERR2179952,PRJEB20299,20946250,0.12322178306598715,0.12322178306598715,early,dew,R1,early harvest
Pseudomonas,Pectin,Otu0002,ERR2179952,PRJEB20299,19901532,0.11707595673616047,0.24029773980214764,early,dew,R1,early harvest
Pantoea,Pectin,Otu0005,ERR2179952,PRJEB20299,19689475,0.11582847608202791,0.35612621588417553,early,dew,R1,early harvest
Enterobacterales unclassified,Pectin,Otu0005,ERR2179952,PRJEB20299,15919150,0.09364855513015023,0.4497747710143258,early,dew,R1,early harvest
Sphingomonas,Pectin,Otu0001,ERR2179952,PRJEB20299,15326136,0.09015999548519739,0.5399347664995231,early,dew,R1,early harvest
Pseudomonas,Pectin,Otu0017,ERR2179952,PRJEB20299,12790415,0.07524295482265074,0.6151777213221739,early,dew,R1,early harvest
Massilia,Pectin,Otu0004,ERR2179952,PRJEB20299,8052240,0.04736940361521821,0.6625471249373921,early,dew,R1,early harvest
Agrobacterium,Pectin,Otu0003,ERR2179952,PRJEB20299,7011466,0.04124677889486398,0.703793903832256,early,dew,R1,early harvest
Rhizobiaceae unclassified,Pectin,Otu0003,ERR2179952,PRJEB20299,5509009,0.03240818341739313,0.7362020872496492,early,dew,R1,early harvest
Pedobacter,Pectin,Otu0011,ERR2179952,PRJEB20299,3853710,0.022670454979732663,0.7588725422293818,early,dew,R1,early harvest
Oxalobacteraceae unclassified,Pectin,Otu0004,ERR2179952,PRJEB20299,3690610,0.02171097665697501,0.7805835188863569,early,dew,R1,early harvest
Pedobacter,Pectin,Otu0009,ERR2179952,PRJEB20299,3615612,0.021269781345815118,0.801853300232172,early,dew,R1,early harvest
Pedobacter,Pectin,Otu0008,ERR2179952,PRJEB20299,3480928,0.020477467560270718,0.8223307677924427,early,dew,R1,early harvest
Pseudomonas,Pectin,Otu0035,ERR2179952,PRJEB20299,2239875,0.013176649345106067,0.8355074171375488,early,dew,R1,early harvest
Janthinobacterium,Pectin,Otu0004,ERR2179952,PRJEB20299,2013060,0.011842350903804552,0.8473497680413533,early,dew,R1,early harvest
Erwinia,Pectin,Otu0022,ERR2179952,PRJEB20299,1959750,0.01152874091369903,0.8588785089550524,early,dew,R1,early harvest
Stenotrophomonas,Pectin,Otu0018,ERR2179952,PRJEB20299,1909712,0.011234379317658886,0.8701128882727113,early,dew,R1,early harvest
Enterobacterales unclassified,Pectin,Otu0022,ERR2179952,PRJEB20299,1899450,0.011174010424046752,0.881286898696758,early,dew,R1,early harvest
Flavobacterium,Pectin,Otu0010,ERR2179952,PRJEB20299,1814319,0.010673205095446617,0.8919601037922046,early,dew,R1,early harvest
Pseudomonas,Cellulose,Otu0002,ERR2179953,PRJEB20299,37701660,0.29744861224565133,0.29744861224565133,early,dew,R2,early harvest
Sphingomonas,Cellulose,Otu0001,ERR2179953,PRJEB20299,30104910,0.23751377794187922,0.5349623901875306,early,dew,R2,early harvest
Massilia,Cellulose,Otu0004,ERR2179953,PRJEB20299,11273136,0.08893981482132332,0.6239022050088538,early,dew,R2,early harvest
Erwiniaceae unclassified,Cellulose,Otu0005,ERR2179953,PRJEB20299,9667500,0.07627209143801185,0.7001742964468657,early,dew,R2,early harvest
Enterobacterales unclassified,Cellulose,Otu0005,ERR2179953,PRJEB20299,7250625,0.05720406857850889,0.7573783650253746,early,dew,R2,early harvest
Pantoea,Cellulose,Otu0005,ERR2179953,PRJEB20299,5317125,0.04194965029090652,0.7993280153162812,early,dew,R2,early harvest
Pseudomonas,Cellulose,Otu0017,ERR2179953,PRJEB20299,5207165,0.041082116887800876,0.840410132204082,early,dew,R2,early harvest
Oxalobacteraceae unclassified,Cellulose,Otu0004,ERR2179953,PRJEB20299,4931997,0.038911168984328955,0.879321301188411,early,dew,R2,early harvest
Pseudomonadaceae unclassified,Cellulose,Otu0002,ERR2179953,PRJEB20299,2595852,0.02048006838412681,0.8998013695725378,early,dew,R2,early harvest
Pseudomonas,Hemicellulose-Galactomannan,Otu0002,ERR2179953,PRJEB20299,18850830,0.49972764107522827,0.49972764107522827,early,dew,R2,early harvest
Erwiniaceae unclassified,Hemicellulose-Galactomannan,Otu0005,ERR2179953,PRJEB20299,3867000,0.10251255716792883,0.6022401982431571,early,dew,R2,early harvest
Enterobacterales unclassified,Hemicellulose-Galactomannan,Otu0005,ERR2179953,PRJEB20299,2900250,0.07688441787594662,0.6791246161191037,early,dew,R2,early harvest
Sphingomonas,Hemicellulose-Galactomannan,Otu0001,ERR2179953,PRJEB20299,2736810,0.07255169164281337,0.7516763077619171,early,dew,R2,early harvest
Pantoea,Hemicellulose-Galactomannan,Otu0005,ERR2179953,PRJEB20299,2126850,0.05638190644236086,0.8080582142042779,early,dew,R2,early harvest
Massilia,Hemicellulose-Galactomannan,Otu0004,ERR2179953,PRJEB20299,1610448,0.04269230480113179,0.8507505190054098,early,dew,R2,early harvest
Pseudomonadaceae unclassified,Hemicellulose-Galactomannan,Otu0002,ERR2179953,PRJEB20299,1297926,0.034407476926491126,0.8851579959319009,early,dew,R2,early harvest
Sphingomonas,Hemicellulose-Xylan,Otu0001,ERR2179953,PRJEB20299,46525770,0.2657485005822406,0.26574850058224064,early,dew,R2,early harvest
Pseudomonas,Hemicellulose-Xylan,Otu0002,ERR2179953,PRJEB20299,37701660,0.21534645454468432,0.481094955126925,early,dew,R2,early harvest
Erwiniaceae unclassified,Hemicellulose-Xylan,Otu0005,ERR2179953,PRJEB20299,17401500,0.09939486295190514,0.5804898180788302,early,dew,R2,early harvest
Enterobacterales unclassified,Hemicellulose-Xylan,Otu0005,ERR2179953,PRJEB20299,13051125,0.07454614721392885,0.655035965292759,early,dew,R2,early harvest
Massilia,Hemicellulose-Xylan,Otu0004,ERR2179953,PRJEB20299,12883584,0.0735891771404395,0.7286251424331985,early,dew,R2,early harvest
Pantoea,Hemicellulose-Xylan,Otu0005,ERR2179953,PRJEB20299,9570825,0.05466717462354783,0.7832923170567464,early,dew,R2,early harvest
Pseudomonas,Hemicellulose-Xylan,Otu0017,ERR2179953,PRJEB20299,9372897,0.05353663838044553,0.8368289554371919,early,dew,R2,early harvest
Oxalobacteraceae unclassified,Hemicellulose-Xylan,Otu0004,ERR2179953,PRJEB20299,5636568,0.03219526499894228,0.8690242204361341,early,dew,R2,early harvest
Pseudomonadaceae unclassified,Hemicellulose-Xylan,Otu0002,ERR2179953,PRJEB20299,2595852,0.01482713293586351,0.8838513533719977,early,dew,R2,early harvest
Massilia,Hemicellulose-Xylan,Otu0020,ERR2179953,PRJEB20299,2296960,0.013119904859121801,0.8969712582311195,early,dew,R2,early harvest
Erwiniaceae unclassified,Hemicellulose-Xyoglucan,Otu0005,ERR2179953,PRJEB20299,42537000,0.2888212215711254,0.2888212215711254,early,dew,R2,early harvest
Enterobacterales unclassified,Hemicellulose-Xyoglucan,Otu0005,ERR2179953,PRJEB20299,31902750,0.21661591617834405,0.5054371377494694,early,dew,R2,early harvest
